branch_id,payment_amount
9819575,837481188
9812630,470570140
9880011,431290447
9819587,427414812
9810507,368582251
9864430,361755198
9810524,329827866
9816892,326513621
9810132,270725153
9815744,266521696
9816614,262659180
9814824,252437802
9819286,230320981
9866929,216186029
9864414,212361574
9819572,201792314
9814263,201646355
9862724,199201911
9817016,198543487
9832871,196008297
